Rasė: Troliai; Miestas: Asgardas
Vardas; Klasė; Gyvybės taškai; Mana; Žalos taškai; Gynybos taškai; Jėga; Vikrumas; Intelektas; Ypatinga galia
Rokas; 4; 150; 10; 120; 90; 120; 100; 100; Rega
Aldas; 1; 150; 10; 55; 60; 100; 100; 100; Lietimas
Matas; 3; 150; 10; 55; 60; 110; 100; 100; Klausa
Tadas; 5; 100; 10; 120; 90; 130; 100; 100; Liepsna
Rugis; 2; 100; 10; 60; 60; 150; 100; 100; Uostymas

Rasė: Elfai; Miestas: Atlanta
Vardas; Klasė; Gyvybės taškai; Mana; Žalos taškai; Gynybos taškai; Jėga; Vikrumas; Intelektas; Ypatinga galia
Jonas; 1; 150; 10; 55; 60; 100; 100; 100; Lietimas
Petra; 2; 150; 10; 60; 60; 100; 100; 100; Uostymas
Rimas; 3; 150; 10; 60; 60; 100; 100; 100; Klausa

